Time,Actual,Explicit Euler,Simpletic Euler
2.160002,195.82912,191.70541,191.70541
2.165002,196.06805,191.94435,191.94435
2.1700022,196.30699,192.18329,192.18329
2.1750023,196.54593,192.42223,192.42223
2.1800025,196.78487,192.66116,192.66116
2.1850026,197.0238,192.9001,192.9001
2.1900027,197.26274,193.13904,193.13904
2.1950028,197.50168,193.37798,193.37798
2.200003,197.7406,193.61691,193.61691
2.205003,197.97955,193.85585,193.85585
2.2100031,198.21848,194.09479,194.09479
2.2150033,198.45741,194.33372,194.33372
2.2200034,198.69635,194.57266,194.57266
2.2250035,198.93529,194.8116,194.8116
2.2300036,199.17422,195.05054,195.05054
2.2350037,199.41316,195.28947,195.28947
2.2400038,199.6521,195.52841,195.52841
2.245004,199.89104,195.76735,195.76735
2.250004,200.12997,196.00629,196.00629
2.2550042,200.36891,196.24522,196.24522
2.2600043,200.60785,196.48416,196.48416
2.2650044,200.84677,196.7231,196.7231
2.2700045,201.08572,196.96204,196.96204
2.2750046,201.32465,197.20097,197.20097
2.2800047,201.5636,197.43991,197.43991
2.2850049,201.80252,197.67885,197.67885
2.290005,202.04146,197.91779,197.91779
2.295005,202.2804,198.15672,198.15672
2.3000052,202.51933,198.39566,198.39566
2.3050053,202.75827,198.6346,198.6346
2.3100054,202.99721,198.87354,198.87354
2.3150055,203.23615,199.11247,199.11247
2.3200057,203.47507,199.35141,199.35141
2.3250058,203.71402,199.59035,199.59035
2.330006,203.95296,199.82928,199.82928
2.335006,204.1919,200.06822,200.06822
2.340006,204.43082,200.30716,200.30716
2.3450062,204.66975,200.5461,200.5461
2.3500063,204.90869,200.78503,200.78503
2.3550065,205.14763,201.02397,201.02397
2.3600066,205.38657,201.26291,201.26291
2.3650067,205.6255,201.50185,201.50185
2.3700068,205.86444,201.74078,201.74078
2.375007,206.10338,201.97972,201.97972
2.380007,206.34232,202.21866,202.21866
2.3850071,206.58125,202.4576,202.4576
2.3900073,206.82019,202.69653,202.69653
2.3950074,207.05911,202.93547,202.93547
2.4000075,207.29807,203.17441,203.17441
2.4050076,207.53699,203.41335,203.41335
2.4100077,207.77594,203.65228,203.65228
2.4150078,208.01486,203.89122,203.89122
2.420008,208.2538,204.13016,204.13016
2.425008,208.49274,204.3691,204.3691
2.4300082,208.73169,204.60803,204.60803
2.4350083,208.97061,204.84697,204.84697
2.4400084,209.20955,205.0859,205.0859
2.4450085,209.44849,205.32484,205.32484
2.4500086,209.68742,205.56378,205.56378
2.4550087,209.92636,205.80272,205.80272
2.4600089,210.16528,206.04166,206.04166
2.465009,210.40424,206.2806,206.2806
2.470009,210.64317,206.51953,206.51953
2.4750092,210.8821,206.75847,206.75847
2.4800093,211.12103,206.9974,206.9974
2.4850094,211.35999,207.23634,207.23634
2.4900095,211.5989,207.47528,207.47528
2.4950097,211.83784,207.71422,207.71422
2.5000098,212.07678,207.95316,207.95316
